time_stamp,influencer,promoter,influncer_tweet,promoter_tweet,influencer_tweet_likes,promoter_tweet_likes,influencer_tweet_text,promoter_tweet_text
"12:05 PM · Sep 27, 2021",https://twitter.com/gokhshteinmedia,https://twitter.com/psalmcrypt,https://twitter.com/gokhshteinmedia/status/1442456069284974593,https://twitter.com/psalmcrypt/status/1442460419612835840?s=19,29,1.0,Which happens first?#crypto #bitcoin $ETH,"power play period for #BTC  next the next 6 months. It will reach 51k+.  Enjoy the ride and take informed decisions. Good luck.

Btw!! Joining the @tribeonedefi community will be your best decision. Go full into the ecosystem with @tribeonedefi.#HAKA, #BTC"
"12:25 PM · Sep 27, 2021",https://twitter.com/davidgokhshtein,https://twitter.com/psalmcrypt,https://twitter.com/davidgokhshtein/status/1442453870333022208,https://twitter.com/psalmcrypt/status/1442465429650214924?s=19,867,1.0,Super Bullish.,"It's a bullish week, everyone woke up with the right mood.

I just joined the @tribeonedefi family, now I have become my own bank. Nice to have a peer-peer frictionless #DeFi #DeFi #HAKA"
"3:31 PM · Sep 27, 2021",https://twitter.com/davidgokhshtein,https://twitter.com/psalmcrypt,https://twitter.com/davidgokhshtein/status/1442502469863444484,https://twitter.com/psalmcrypt/status/1442512194705395718?s=19,679,1.0,"$XRP, $XDC and $XLM.

The X’s. 

If you dig into the projects you’ll understand why I’m bullish on them. 

NFA","Good for you David, I'm really not a fan of these projects though.

Anyway!!!  staking & earning rewards with $HAKA has been fun!pools are filling up quickly!!!! LET'S GO!!!  #Tribe #BTC #HAKA"
"3:59 PM · Sep 27, 2021",https://twitter.com/davidgokhshtein,https://twitter.com/psalmcrypt,https://twitter.com/davidgokhshtein/status/1442516020678340608,https://twitter.com/psalmcrypt/status/1442519279451066379?s=19,70,2.0,"So Jaime, you’re saying #Bitcoin is legit?","David were you thinking #BTC is a Ponzi scheme ?

Look out for @tribeonedefi and be a part of their three leading #staking programmes
where you can now stake $HAKA @unifarm_ ,@hotcrosscom, @pool_x_official .

Massive one from @tribeonedefi #DeFi #HODL"
"4:09 PM · Sep 27, 2021",https://twitter.com/davidgokhshtein,https://twitter.com/psalmcrypt,https://twitter.com/davidgokhshtein/status/1442497336865853444,https://twitter.com/psalmcrypt/status/1442521752131624965?s=19,118,2.0,"Are you stacking more $BTC or $ETH? 

So far, the people I speak to are more interested in $ETH believing it’ll put up the same numbers $BTC did in 2017.

Thoughts.","I also think the same for $ETH, $ETH 2.0 will be a major blow for $ETH in general.

If you want big APRS of up to 55% I suggest you Stake $HAKA now. 

Pools are going rising up so quick "
"4:38 PM · Sep 27, 2021",https://twitter.com/davidgokhshtein,https://twitter.com/psalmcrypt,https://twitter.com/davidgokhshtein/status/1442523465895010306,https://twitter.com/psalmcrypt/status/1442529008730705921?s=19,228,5.0,Damn — $COTI is really moving today. ,$COTI will be part of the future though With the two recent anazing #staking programmes running you shouldn't miss out on $HAKA. @unifarm_ & @hotcrosscom will be a big blow for $HAKA 
"4:48 PM · Sep 27, 2021",https://twitter.com/martocsan_eth,https://twitter.com/psalmcrypt,https://twitter.com/martocsan_eth/status/1442505437211856898,https://twitter.com/psalmcrypt/status/1442531552643092482?s=19,148,1.0,We are going for the ATH! $COTI will break barriers after today speech of @shahafbg  on @cryptomanran show.,"Only reason I bought @ .34 was because @Cardano was an investor.. $COTI is performing at a high level today.

I will be staking more in $HAKA. Staking on the  #UniFarm pool to earn APYs of up to 250%. @tribeonedefi is dominating .#HODL #DeFi"
"4:54 PM · Sep 27, 2021",https://twitter.com/intocryptoverse,https://twitter.com/psalmcrypt,https://twitter.com/intocryptoverse/status/1442505224162213895,https://twitter.com/psalmcrypt/status/1442533163272704003?s=19,"2,567",1.0,What #crypto is undervalued?,"IMO, $HAKA is unfairly undervalued. Great prospect and massive use case.@tribeonedefi is a big solution giver and with their token $HAKA I'm certain they will do alot in the space. Let's go TRIBE!! #DeFi #BTC #HODL"
"4:59 PM · Sep 27, 2021",https://twitter.com/TheMoonCarl,https://twitter.com/psalmcrypt,https://twitter.com/TheMoonCarl/status/1442514685169999880,https://twitter.com/psalmcrypt/status/1442534424084729860?s=19,"1,505",2.0,Buy #Bitcoin now so your future family never has to FOMO! ,"I hodl a large portion of #BTC already in my folio.

It is time to focus on promising investments like $HAKA. An investment that will generate passive income and will be a very secure and transparent investment .#DeFi"
"5:08 PM · Sep 27, 2021",https://twitter.com/TheMoonCarl,https://twitter.com/psalmcrypt,https://twitter.com/TheMoonCarl/status/1442481679550058497,https://twitter.com/psalmcrypt/status/1442536560667332608?s=19,"1,172",1.0,"“China bans #Bitcoin”

We’ve heard it a million times, yawn. I’m glad we’re moving on already.","It's obvious #BTC is gradually breaking from China's dominance which Imo is a very good #bullish sign.@unifarm_ is a superb project on its own. Staking $HAKA on the #UniFarm staking pool to earn big APYs up to 250% will be a  big plus.

Don't snooze!!$UFARM #DeFi"
